model,capacity,C,N,repeat,logloss,precision,recall,f1,hidden
logreg,C=0.1,0.1,50,0,0.6717537467164894,0.5,1.0,0.6666666666666666,
logreg,C=0.1,0.1,50,1,0.6629134030463121,1.0,0.011,0.021760633036597428,
logreg,C=0.1,0.1,50,2,0.664091530517818,0.6426735218508998,1.0,0.7824726134585289,
logreg,C=0.1,0.1,100,0,0.6384794007602292,0.5333333333333333,1.0,0.6956521739130435,
logreg,C=0.1,0.1,100,1,0.6350189802642876,1.0,0.3746,0.5450312818274408,
logreg,C=0.1,0.1,100,2,0.6304120659597929,0.9202431386995763,0.9992,0.9580976124268865,
logreg,C=0.1,0.1,200,0,0.5828545941493507,0.9811616954474097,1.0,0.9904912836767037,
logreg,C=0.1,0.1,200,1,0.5879720845316273,0.9628345850182939,1.0,0.9810654370646522,
logreg,C=0.1,0.1,200,2,0.5892291806367687,0.8933357155619082,1.0,0.9436633009342267,
logreg,C=0.1,0.1,400,0,0.5114791320778651,0.9624639076034649,1.0,0.980872976949485,
logreg,C=0.1,0.1,400,1,0.5102397021434044,0.9585889570552147,1.0,0.9788566953797964,
logreg,C=0.1,0.1,400,2,0.5123984841934218,0.9811616954474097,1.0,0.9904912836767037,
logreg,C=0.1,0.1,800,0,0.4129982958442998,0.9682416731216111,1.0,0.9838646202282566,
logreg,C=0.1,0.1,800,1,0.4154792708036207,0.9652509652509652,1.0,0.9823182711198428,
logreg,C=0.1,0.1,800,2,0.4171034606153536,0.9678668215253581,1.0,0.9836710603974032,
logreg,C=0.3,0.3,50,0,0.6135713453054116,0.9918130990415336,0.9934,0.9926059152677857,
logreg,C=0.3,0.3,50,1,0.6192770085197197,1.0,0.0228,0.044583496284708646,
logreg,C=0.3,0.3,50,2,0.6212515628267714,1.0,0.012,0.023715415019762844,
logreg,C=0.3,0.3,100,0,0.5483790499336862,0.9654373431164317,1.0,0.9824147755182238,
logreg,C=0.3,0.3,100,1,0.5511710756378183,0.9551098376313276,1.0,0.9770395701025891,
logreg,C=0.3,0.3,100,2,0.5511213732097267,0.9910376419040032,0.9952,0.993114459634767,
logreg,C=0.3,0.3,200,0,0.4556223621096574,0.9589566551591868,1.0,0.9790483649892304,
logreg,C=0.3,0.3,200,1,0.45826561219939804,0.9778994719342852,1.0,0.9888262632255512,
logreg,C=0.3,0.3,200,2,0.46071664739380086,0.9823182711198428,1.0,0.9910802775024777,
logreg,C=0.3,0.3,400,0,0.3584631206862221,0.9585889570552147,1.0,0.9788566953797964,
logreg,C=0.3,0.3,400,1,0.35947494192057294,0.9587727708533078,1.0,0.9789525208027411,
logreg,C=0.3,0.3,400,2,0.359349596168034,0.9611687812379854,1.0,0.9801999607920016,
logreg,C=0.3,0.3,800,0,0.2618827424436357,0.9643201542912246,1.0,0.9818360333824251,
logreg,C=0.3,0.3,800,1,0.2640098915691155,0.9611687812379854,1.0,0.9801999607920016,
logreg,C=0.3,0.3,800,2,0.2603348714279114,0.9650646593321752,1.0,0.9822217856792064,
logreg,C=1.0,1.0,50,0,0.5015583400595669,0.8641548565502938,1.0,0.9271277582050806,
logreg,C=1.0,1.0,50,1,0.5023278137691704,0.9867431737237832,0.9974,0.9920429679729461,
logreg,C=1.0,1.0,50,2,0.49616081738812756,0.9805539186800236,0.9984,0.9893964919234962,
logreg,C=1.0,1.0,100,0,0.40708828633310956,0.9335324869305451,1.0,0.9656237929702588,
logreg,C=1.0,1.0,100,1,0.405986338563858,0.970873786407767,1.0,0.9852216748768473,
logreg,C=1.0,1.0,100,2,0.4050424088001615,0.9485866059571239,1.0,0.9736150326161036,
logreg,C=1.0,1.0,200,0,0.30393196642119535,0.9716284492809949,1.0,0.9856100926473487,
logreg,C=1.0,1.0,200,1,0.3057426509170777,0.9765625,1.0,0.9881422924901185,
logreg,C=1.0,1.0,200,2,0.29812740463112275,0.969743987587277,1.0,0.9846396218983852,
logreg,C=1.0,1.0,400,0,0.21022800133005567,0.975609756097561,1.0,0.9876543209876543,
logreg,C=1.0,1.0,400,1,0.20810510292432396,0.9714396735962697,1.0,0.9855129594954174,
logreg,C=1.0,1.0,400,2,0.20941681833639728,0.9620935154897056,1.0,0.9806805923310777,
logreg,C=1.0,1.0,800,0,0.14385497075815884,0.9674922600619195,1.0,0.983477576711251,
logreg,C=1.0,1.0,800,1,0.14288584924675343,0.969743987587277,1.0,0.9846396218983852,
logreg,C=1.0,1.0,800,2,0.14399677568117009,0.9619084263178146,1.0,0.9805844283192783,
logreg,C=3.0,3.0,50,0,0.3961694853341112,0.8206138191367143,1.0,0.9014693951140359,
logreg,C=3.0,3.0,50,1,0.41327264813860837,0.7579202667879339,1.0,0.8622919720617401,
logreg,C=3.0,3.0,50,2,0.39410287643158015,0.9719953325554259,0.9996,0.9856044172746993,
logreg,C=3.0,3.0,100,0,0.26691962367781286,0.9604302727621975,1.0,0.9798157946306094,
logreg,C=3.0,3.0,100,1,0.26766054708251724,0.9580379383023567,1.0,0.9785693316371465,
logreg,C=3.0,3.0,100,2,0.28569436985047786,0.9778951486697965,0.9998,0.9887262658227848,
logreg,C=3.0,3.0,200,0,0.18301588879924374,0.9682416731216111,1.0,0.9838646202282566,
logreg,C=3.0,3.0,200,1,0.18666816139833903,0.966183574879227,1.0,0.9828009828009828,
logreg,C=3.0,3.0,200,2,0.1795300915911185,0.9615384615384616,1.0,0.9803921568627451,
logreg,C=3.0,3.0,400,0,0.124237814072113,0.9654373431164317,1.0,0.9824147755182238,
logreg,C=3.0,3.0,400,1,0.12047692368206114,0.9646922631680493,1.0,0.9820288716488265,
logreg,C=3.0,3.0,400,2,0.12122266671549844,0.9703085581214826,1.0,0.9849305623953512,
logreg,C=3.0,3.0,800,0,0.08213067196763546,0.9763718023823472,1.0,0.9880446596186148,
logreg,C=3.0,3.0,800,1,0.08152860425545998,0.975800156128025,1.0,0.9877518767285658,
logreg,C=3.0,3.0,800,2,0.08169021701233348,0.9737098344693281,1.0,0.986679822397632,
logreg,C=10.0,10.0,50,0,0.2777121401241738,0.911410864017499,1.0,0.9536524890329964,
logreg,C=10.0,10.0,50,1,0.26721537248440225,0.9782821365681863,1.0,0.9890218573830482,
logreg,C=10.0,10.0,50,2,0.3052700046117635,0.8635578583765112,1.0,0.9267840593141798,
logreg,C=10.0,10.0,100,0,0.1803941787902927,0.9593246354566385,1.0,0.9792401096748923,
logreg,C=10.0,10.0,100,1,0.15988433731883037,0.9746588693957114,1.0,0.9871668311944719,
logreg,C=10.0,10.0,100,2,0.16132243108853975,0.9671179883945842,1.0,0.983284169124877,
logreg,C=10.0,10.0,200,0,0.10191022232065539,0.968429207824908,1.0,0.9839614287119944,
logreg,C=10.0,10.0,200,1,0.11038473116210853,0.9771350400625366,1.0,0.9884353069091628,
logreg,C=10.0,10.0,200,2,0.1040900361018356,0.9725734292939117,1.0,0.9860960457548565,
logreg,C=10.0,10.0,400,0,0.07228702202491215,0.970873786407767,1.0,0.9852216748768473,
logreg,C=10.0,10.0,400,1,0.07005267141288646,0.9754194303550526,1.0,0.9875567845151096,
logreg,C=10.0,10.0,400,2,0.07028584816146037,0.9703085581214826,1.0,0.9849305623953512,
logreg,C=10.0,10.0,800,0,0.048324427134631864,0.9767532721234616,1.0,0.9882399446585631,
logreg,C=10.0,10.0,800,1,0.048766427537831114,0.975609756097561,1.0,0.9876543209876543,
logreg,C=10.0,10.0,800,2,0.04689277682469378,0.9798157946306094,1.0,0.9898050084133426,
mlp,H=32,,50,0,0.6955587411368633,0.5,1.0,0.6666666666666666,32.0
mlp,H=32,,50,1,0.6915015176326683,0.0,0.0,0.0,32.0
mlp,H=32,,50,2,0.7148932455311369,0.0,0.0,0.0,32.0
mlp,H=32,,100,0,0.6949081287322457,0.0,0.0,0.0,32.0
mlp,H=32,,100,1,0.7000150494283268,0.0,0.0,0.0,32.0
mlp,H=32,,100,2,0.5934473078713617,0.9989075813851868,0.9144,0.9547875117468936,32.0
mlp,H=32,,200,0,0.5495329357071729,1.0,0.6138,0.7606890568843723,32.0
mlp,H=32,,200,1,0.6084861363289007,0.9989281886387996,0.932,0.9643041903776514,32.0
mlp,H=32,,200,2,0.588041012934841,0.9987674609695973,0.9724,0.9854073773814349,32.0
mlp,H=32,,400,0,0.6666709246041981,0.9784398275186201,0.9984,0.9883191447238171,32.0
mlp,H=32,,400,1,0.5648438783969417,0.9987684729064039,0.9732,0.9858184764991896,32.0
mlp,H=32,,400,2,0.577395567609624,0.9963920625375827,0.9942,0.9952948243067374,32.0
mlp,H=32,,800,0,0.5568910581841673,0.9936406995230525,1.0,0.9968102073365231,32.0
mlp,H=32,,800,1,0.4062419782580396,0.9620935154897056,1.0,0.9806805923310777,32.0
mlp,H=32,,800,2,0.4776474828233561,0.997997997997998,0.997,0.9974987493746873,32.0
mlp,H=64,,50,0,0.6951644720324138,0.0,0.0,0.0,64.0
mlp,H=64,,50,1,0.693755450144092,0.5,1.0,0.6666666666666666,64.0
mlp,H=64,,50,2,0.6946129404289884,0.0,0.0,0.0,64.0
mlp,H=64,,100,0,0.6603258723776807,0.9983197311569851,0.8318,0.9074841806676849,64.0
mlp,H=64,,100,1,0.5536796717805086,0.9995527728085868,0.894,0.9438344594594594,64.0
mlp,H=64,,100,2,0.636705162977453,0.9993403693931399,0.909,0.9520318391286133,64.0
mlp,H=64,,200,0,0.6187429189543326,0.8846426043878273,1.0,0.938790837401427,64.0
mlp,H=64,,200,1,0.4240346883369455,0.9551098376313276,1.0,0.9770395701025891,64.0
mlp,H=64,,200,2,0.5065126903410431,0.9995123140697391,0.8198,0.9007801340512032,64.0
mlp,H=64,,400,0,0.6262543381310486,0.936855911560802,1.0,0.9673986649898423,64.0
mlp,H=64,,400,1,0.4959802658380529,0.9885330170027679,1.0,0.9942334460131239,64.0
mlp,H=64,,400,2,0.6565985400695478,0.9949939927913496,0.9938,0.9943966379827897,64.0
mlp,H=64,,800,0,0.32023443863238005,0.9966027178257394,0.9974,0.997001199520192,64.0
mlp,H=64,,800,1,0.1981972099960648,0.9976033553025764,0.999,0.9983011891675827,64.0
mlp,H=64,,800,2,0.6159136397430302,0.9780907668231612,1.0,0.9889240506329114,64.0
mlp,H=128,,50,0,0.6876819986653704,0.5,1.0,0.6666666666666666,128.0
mlp,H=128,,50,1,0.6320150032570938,0.7632422530911311,1.0,0.8657259111765215,128.0
mlp,H=128,,50,2,0.6578361620407112,0.8036001285760206,1.0,0.8911067545891997,128.0
mlp,H=128,,100,0,0.613829047624753,0.8939746111210441,1.0,0.9440196356084206,128.0
mlp,H=128,,100,1,0.6092415020983979,0.9788359788359788,0.999,0.9888152034049292,128.0
mlp,H=128,,100,2,0.5968607591581231,0.9969046636401155,0.9662,0.98131220800325,128.0
mlp,H=128,,200,0,0.6073165944454835,0.9455370650529501,1.0,0.9720062208398134,128.0
mlp,H=128,,200,1,0.5609268197205657,0.9991781384836655,0.9726,0.9857099422316814,128.0
mlp,H=128,,200,2,0.5864797563841734,0.9997698504027618,0.8688,0.9296950240770465,128.0
mlp,H=128,,400,0,0.5825356515663352,0.9699321047526673,1.0,0.9847365829640571,128.0
mlp,H=128,,400,1,0.5855725864556738,0.9658103148541627,1.0,0.9826078412105729,128.0
mlp,H=128,,400,2,0.42532871931217303,0.9712509712509713,1.0,0.9854158454867954,128.0
mlp,H=128,,800,0,0.30382983695609384,0.9828975820719481,1.0,0.991375037176564,128.0
mlp,H=128,,800,1,0.5709888391728042,0.9969861362266426,0.9924,0.9946877818983663,128.0
mlp,H=128,,800,2,0.42327824514800805,0.9883376161296699,1.0,0.9941346058256287,128.0
mlp,H=256,,50,0,0.6509032490053093,0.9041591320072333,1.0,0.949667616334283,256.0
mlp,H=256,,50,1,0.552296029207949,0.989684340829379,0.9594,0.9743068955011679,256.0
mlp,H=256,,50,2,0.6369471868347703,0.9525623928367308,1.0,0.9757049468240804,256.0
mlp,H=256,,100,0,0.6017837985895187,0.999128160418483,0.9168,0.9561952440550688,256.0
mlp,H=256,,100,1,0.6724619604746905,0.849762066621346,1.0,0.9187798603454612,256.0
mlp,H=256,,100,2,0.5599833163266963,0.9986247994499198,0.8714,0.9306846096336644,256.0
mlp,H=256,,200,0,0.44763704386788367,0.9940298507462687,0.999,0.9965087281795512,256.0
mlp,H=256,,200,1,0.6578465017022989,0.9087604507451835,1.0,0.9521995810321844,256.0
mlp,H=256,,200,2,0.5865626646508656,0.999546176537327,0.881,0.9365366216647177,256.0
mlp,H=256,,400,0,0.5394876513799088,0.996397838703222,0.9958,0.9960988296488946,256.0
mlp,H=256,,400,1,0.6235168482740777,0.9129085265656381,1.0,0.9544716999140975,256.0
mlp,H=256,,400,2,0.5293195006921361,0.992847208424399,0.9994,0.9961128276686934,256.0
mlp,H=256,,800,0,0.5232241781819884,0.984251968503937,1.0,0.9920634920634921,256.0
mlp,H=256,,800,1,0.18229811394696865,0.9912767644726408,1.0,0.9956192751891677,256.0
mlp,H=256,,800,2,0.5167516313750335,0.9706853038245001,1.0,0.9851246182642104,256.0
